,gender,int_or_dom,grad_year,fin_aid,c1_field,testing,legacy,ever_checked_out,calls_vga,last_had_sex,us_mil_action,asian,amind_alask,black,nathaw_pacisl,nw_hisp,white,pna_race,grad_year_lumped,wants_masks_in_class,wants_masks_in_student_space,wants_mand_testing,wants_none_of_above,unsure_covid_restrictions,pna_covid_restrictions,used_alcohol,used_cocaine,used_inhalants,used_lsd,used_marijuana,used_mdma,used_nicotine,used_shrooms,used_none_of_above,used_unsure,pna_drugs
434,Male,Domestic,2024.0,None,LS,Yes,No,No,Greg,Less than one week ago,Oppose,0,0,0,0,0,1,0,2024.0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
435,Male,Domestic,2024.0,None,PS,No,No,No,Greg,Less than six months ago,Unsure,1,0,1,0,0,0,0,2024.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
436,Female,International,2024.0,None,AH,No,Unsure,No,Greg,Prefer not to answer,Unsure,1,0,0,0,0,0,0,2024.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
437,Female,Domestic,2025.0,Grants covering all costs,LS,No,No,No,Unsure,Prefer not to answer,Prefer not to answer,0,0,1,0,0,0,0,2025.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
438,Male,International,2025.0,Grants covering all costs,PS,Unsure,Yes,No,Unsure,Less than six months ago,Unsure,0,0,0,0,0,1,0,2025.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
439,Male,Domestic,2022.0,Grants covering some costs,PS,Yes,Yes,No,New Dorm,Less than one week ago,Unsure,0,0,0,0,1,0,0,2022.0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0
440,Male,Domestic,2025.5,Grants covering all costs,LS,No,No,No,Unsure,Less than one month ago,Favor,0,0,0,0,0,1,0,2025.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0
441,Male,Domestic,2025.0,None,LS,Yes,Unsure,No,Greg,I’ve never had sex,Unsure,0,0,0,0,0,1,0,2025.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
442,Male,International,2024.0,Grants covering all costs,LS,No,No,Yes,Greg,More than six months ago,Oppose,0,0,0,0,0,1,0,2024.0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
443,Female,Domestic,2023.0,Grants covering some costs,LS,Unsure,No,Yes,New Dorm,Less than six months ago,Oppose,0,0,0,0,0,1,0,2023.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
444,Non-binary,Domestic,2024.0,None,SS,No,No,No,Greg,Less than one week ago,Unsure,0,0,1,0,0,0,0,2024.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
445,Male,Domestic,2025.0,None,LS,No,No,No,New Dorm,Less than one week ago,Unsure,0,0,0,0,1,0,0,2025.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
446,Male,Domestic,2023.5,None,SS,Yes,Yes,No,Unsure,Less than one month ago,Unsure,0,0,0,0,0,1,0,2023.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
447,Female,Domestic,2024.0,None,PS,Yes,Unsure,No,Greg,I’ve never had sex,Unsure,0,0,0,0,0,1,0,2024.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
448,Male,Domestic,2024.0,Grants covering some costs,SS,Yes,Yes,No,Greg,Less than one week ago,Favor,0,0,0,0,0,1,0,2024.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
